Content ID,Content User ID,Reaction User ID,Category,Type.1,Type,Date,Time2,Sentiment,Score,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,6e98e5c2-b7d7-4915-bb20-d01a42d29dee,6fb7ead6-71f3-4f57-94bd-18111fbc5e1a,Animals,photo,want,11/12/2020,23:00:51.000,positive,70,,,,Category,Score,Rank
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,7a85fbc6-253f-4552-9f4a-c1a332e14fa5,2c32ac39-926d-4473-801f-5733222ad74f,Animals,photo,want,24/07/2020,02:26:47.000,positive,70,,,,Animals,68624,1
5651450a-d330-46e6-bac9-c7c7e7defaf2,bf721d00-4fa1-44b1-834f-4730cd51aefa,9210e8dd-d2a2-4ea7-8cbd-f37e1e8efea5,Animals,photo,want,15/11/2020,10:47:08.000,positive,70,,,,Science,65405,2
5651450a-d330-46e6-bac9-c7c7e7defaf2,bf721d00-4fa1-44b1-834f-4730cd51aefa,cbc99939-e6a6-4269-9819-bffce6f38751,Animals,photo,want,19/02/2021,09:14:17.000,positive,70,,,,Healthy Eating,63138,3
5651450a-d330-46e6-bac9-c7c7e7defaf2,bf721d00-4fa1-44b1-834f-4730cd51aefa,568e7c6f-b1e9-4a85-897c-aaaaa0ce8832,Animals,photo,want,09/09/2020,13:53:33.000,positive,70,,,,Technology,63035,4
5651450a-d330-46e6-bac9-c7c7e7defaf2,bf721d00-4fa1-44b1-834f-4730cd51aefa,72d2587e-8fae-4626-a73d-352e6465ba0f,Animals,photo,want,12/02/2021,05:06:03.000,positive,70,,,,Food,61598,5
aa6c9668-7455-4a4c-9915-f7d4cb56c8c6,987b33de-7307-48c1-b34a-6c6806d7af67,3c45659f-e24d-4b0d-8210-0b7704ea1ac6,Animals,photo,want,01/06/2021,08:50:08.000,positive,70,,,,,,
4b00c81e-66dd-45bd-9fb5-a9d2b37b62bf,b0c22f82-b882-4394-bf27-6dfadf26e5c2,a6668254-c779-424c-8c8b-1762bf45916e,Animals,photo,want,27/12/2020,16:22:00.000,positive,70,,,,,,
4b00c81e-66dd-45bd-9fb5-a9d2b37b62bf,b0c22f82-b882-4394-bf27-6dfadf26e5c2,40e643fb-369c-4ecb-beb7-810114f331fa,Animals,photo,want,22/04/2021,21:38:31.000,positive,70,,,,,,
21bc508c-dd96-4fb1-b8a1-a92bef9fa666,10f311c3-f547-4260-8c0e-a155008b7936,92c3576c-8634-42a8-8005-6e1ff8c207e8,Animals,photo,want,31/12/2020,02:03:07.000,positive,70,,,,,,
21bc508c-dd96-4fb1-b8a1-a92bef9fa666,10f311c3-f547-4260-8c0e-a155008b7936,9fb4ce88-fac1-406c-8544-1a899cee7aaf,Animals,photo,want,03/02/2021,08:00:54.000,positive,70,,,,,,
21bc508c-dd96-4fb1-b8a1-a92bef9fa666,10f311c3-f547-4260-8c0e-a155008b7936,eff1e86a-8ede-4a41-818b-9442e3181ee3,Animals,photo,want,27/05/2021,18:30:57.000,positive,70,,,,,,
21bc508c-dd96-4fb1-b8a1-a92bef9fa666,10f311c3-f547-4260-8c0e-a155008b7936,06a8036a-6e4c-4b15-a6c8-ca74ac11ea73,Animals,photo,want,31/01/2021,06:04:56.000,positive,70,,,,,,
1f0ed2b8-8531-416f-b694-a40a63f378a0,1932a904-86ba-4438-bb52-b7e6516a4019,d71363d5-6468-44b0-b641-94c4776bce98,Animals,photo,want,29/07/2020,09:57:10.000,positive,70,,,,,,
1f0ed2b8-8531-416f-b694-a40a63f378a0,1932a904-86ba-4438-bb52-b7e6516a4019,b596e7d8-dd3f-4125-8b99-4bf2283657cd,Animals,photo,want,25/12/2020,12:50:00.000,positive,70,,,,,,
c0ea9b69-639e-42fe-8aa5-67f46036a17c,69f2735b-eee6-4fc1-a934-b31c20beb780,dbacabf8-7ebd-4f22-a261-59d8dad306f1,Animals,photo,want,02/10/2020,01:22:28.000,positive,70,,,,,,
0c6e8e2a-7692-4490-b545-f76b0d06697a,66663a0d-856f-487f-a2a2-258af21ab3e5,346174b1-4661-4cdd-8c47-66dbd013cd56,Animals,photo,want,15/09/2020,08:34:33.000,positive,70,,,,,,
0c6e8e2a-7692-4490-b545-f76b0d06697a,66663a0d-856f-487f-a2a2-258af21ab3e5,2019ba88-1967-43e6-9710-b17ade18afb3,Animals,photo,want,20/02/2021,11:16:46.000,positive,70,,,,,,
18cb1ce7-fb66-4a56-8042-e38c9593ade1,a58444bc-a23e-40a1-b09d-0f90bd5cd6b3,f41d30f1-50c3-419c-a2d8-9043c7e568ca,Animals,photo,want,29/05/2021,16:40:53.000,positive,70,,,,,,
18cb1ce7-fb66-4a56-8042-e38c9593ade1,a58444bc-a23e-40a1-b09d-0f90bd5cd6b3,4eed2f45-f040-4995-a60f-472af1ff379a,Animals,photo,want,09/12/2020,02:02:31.000,positive,70,,,,,,
18cb1ce7-fb66-4a56-8042-e38c9593ade1,a58444bc-a23e-40a1-b09d-0f90bd5cd6b3,30be2156-59d1-451e-beea-1a3690200a2b,Animals,photo,want,02/05/2021,18:14:24.000,positive,70,,,,,,
72167d71-578d-428f-af6d-5a8a92e677af,4fe1900d-5e78-41a3-88ed-18e6889c6c77,3af8d78b-55c4-4ac0-8161-7cc3f6ec11c9,Animals,photo,want,04/11/2020,17:02:01.000,positive,70,,,,,,
72167d71-578d-428f-af6d-5a8a92e677af,4fe1900d-5e78-41a3-88ed-18e6889c6c77,4c731e48-0377-4d7d-b4c8-b2174b774ed8,Animals,photo,want,02/10/2020,10:04:19.000,positive,70,,,,,,
72167d71-578d-428f-af6d-5a8a92e677af,4fe1900d-5e78-41a3-88ed-18e6889c6c77,fa3e42f0-71d8-455f-b024-e52d5c27a145,Animals,photo,want,24/08/2020,06:52:35.000,positive,70,,,,,,
72167d71-578d-428f-af6d-5a8a92e677af,4fe1900d-5e78-41a3-88ed-18e6889c6c77,4fe1900d-5e78-41a3-88ed-18e6889c6c77,Animals,photo,want,24/03/2021,05:46:11.000,positive,70,,,,,,
72167d71-578d-428f-af6d-5a8a92e677af,4fe1900d-5e78-41a3-88ed-18e6889c6c77,b1ceae0c-016d-421f-a6f0-488a7857f9f6,Animals,photo,want,21/08/2020,16:12:51.000,positive,70,,,,,,
df06cdab-afc8-4965-9b10-c270b0cafedf,e2377b94-f06a-49ed-a266-377c4b07e980,241d5c6e-06c7-491b-b23e-f8d6ddc0240a,Animals,photo,want,20/05/2021,18:54:11.000,positive,70,,,,,,
4dca44b9-e65c-4d9d-93eb-6a24ec8950e9,a6f003be-b0fd-4100-b4cc-f568a21b9745,80e03bc0-fc8f-475b-a4dd-870844b7a313,Animals,photo,want,26/12/2020,17:44:34.000,positive,70,,,,,,
4dca44b9-e65c-4d9d-93eb-6a24ec8950e9,a6f003be-b0fd-4100-b4cc-f568a21b9745,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,Animals,photo,want,16/05/2021,13:28:17.000,positive,70,,,,,,
4dca44b9-e65c-4d9d-93eb-6a24ec8950e9,a6f003be-b0fd-4100-b4cc-f568a21b9745,f4ed8f9c-5eac-4d77-a206-c60afda2921a,Animals,photo,want,18/06/2020,20:27:34.000,positive,70,,,,,,
4dca44b9-e65c-4d9d-93eb-6a24ec8950e9,a6f003be-b0fd-4100-b4cc-f568a21b9745,5b62e10e-3c19-4d28-a57c-e9bdc3d6758d,Animals,photo,want,30/04/2021,17:50:05.000,positive,70,,,,,,
2ceee25a-8461-4409-ab41-7a72d97d722d,26c6734f-42b6-48f8-a08e-e1c3a79019d0,8abcf667-7be3-439f-97bb-3375a3de366c,Animals,photo,want,17/07/2020,16:20:36.000,positive,70,,,,,,
2ceee25a-8461-4409-ab41-7a72d97d722d,26c6734f-42b6-48f8-a08e-e1c3a79019d0,ad4bd878-55e7-487c-a4db-470b23bbd832,Animals,photo,want,28/11/2020,13:23:06.000,positive,70,,,,,,
2ceee25a-8461-4409-ab41-7a72d97d722d,26c6734f-42b6-48f8-a08e-e1c3a79019d0,a4a3247c-5e68-49d0-a768-a8d7db1c8ef4,Animals,photo,want,02/02/2021,14:11:04.000,positive,70,,,,,,
a4f6b4c2-36bd-4232-bef8-66577a601163,1ee25417-3648-4220-9b8f-fc82d1ef450c,a483c273-aee5-44bc-883e-d6963157aa4c,Animals,photo,want,08/05/2021,21:58:48.000,positive,70,,,,,,
a4f6b4c2-36bd-4232-bef8-66577a601163,1ee25417-3648-4220-9b8f-fc82d1ef450c,922d93a7-d56a-4e74-b1bf-1e7bab42dcc4,Animals,photo,want,05/01/2021,16:19:25.000,positive,70,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,ade9db41-034e-4b27-befb-42117025dab0,5d04455b-a95e-40d8-bcd4-8c485777c47f,Animals,photo,want,04/04/2021,01:51:05.000,positive,70,,,,,,
7f7d20ca-fedf-48e6-8364-dbb8adeb4223,7bf3ce80-784e-42a0-b06a-dbbd1e31a9b7,23a48585-f2cf-4a20-8d30-f49361d5625c,Animals,photo,want,18/08/2020,16:52:04.000,positive,70,,,,,,
6519b8ec-1253-4f91-8abb-3c5a04eccd2b,2a41e628-4cc5-4765-af2e-8b3dec750c0b,ce9b41f4-625e-4868-83d1-6b53767a8af5,Animals,photo,want,14/01/2021,20:06:57.000,positive,70,,,,,,
89cb4504-fccd-40f4-945e-410f74ee4735,a81378a5-58de-4631-b2b1-3eca765f68c6,a1a9c0bd-785a-478f-a19e-9eb48fae0bd6,Animals,photo,want,16/02/2021,21:25:17.000,positive,70,,,,,,
89cb4504-fccd-40f4-945e-410f74ee4735,a81378a5-58de-4631-b2b1-3eca765f68c6,ade9db41-034e-4b27-befb-42117025dab0,Animals,photo,want,03/12/2020,01:46:30.000,positive,70,,,,,,
89cb4504-fccd-40f4-945e-410f74ee4735,a81378a5-58de-4631-b2b1-3eca765f68c6,c76c3393-88e2-47b0-ac37-dc4f2053f5a5,Animals,photo,want,06/10/2020,15:28:24.000,positive,70,,,,,,
89cb4504-fccd-40f4-945e-410f74ee4735,a81378a5-58de-4631-b2b1-3eca765f68c6,70848bd7-6cd5-4686-b22b-a9afb05541a5,Animals,photo,want,17/08/2020,00:52:58.000,positive,70,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,4baf648a-0ad5-412d-8250-5a0ff9289fbf,2a41e628-4cc5-4765-af2e-8b3dec750c0b,Animals,video,want,06/04/2021,09:09:33.000,positive,70,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,4baf648a-0ad5-412d-8250-5a0ff9289fbf,3a80467c-0f1f-49ca-b904-1938ea2177a9,Animals,video,want,30/06/2020,16:53:26.000,positive,70,,,,,,
89cf06bc-e921-4cfd-bd16-d071757d90a2,b0c22f82-b882-4394-bf27-6dfadf26e5c2,af647535-dae8-4ca3-9203-bf4bfc607ffe,Animals,video,want,27/02/2021,20:05:45.000,positive,70,,,,,,
972b6e82-421f-43f6-905c-2168933de18f,4bcb2c2e-36ed-4d5d-90a1-440993e9f6d2,a6f003be-b0fd-4100-b4cc-f568a21b9745,Animals,video,want,20/11/2020,04:33:53.000,positive,70,,,,,,
